level_id,sector_id,building_id,level_name,level_index,coordinate_system,status
LVL-00022-001-001,SEC-00022,BLD-00022-001,B1MF,1,LEVEL_FRAME_001_V1,active
LVL-00022-001-002,SEC-00022,BLD-00022-001,B1F,2,LEVEL_FRAME_002_V1,active
LVL-00022-001-003,SEC-00022,BLD-00022-001,1F,3,LEVEL_FRAME_003_V1,active
LVL-00022-001-010,SEC-00022,BLD-00022-001,2F,10,LEVEL_FRAME_010_V1,active
LVL-00022-001-011,SEC-00022,BLD-00022-001,3F,11,LEVEL_FRAME_011_V1,active
LVL-00022-001-012,SEC-00022,BLD-00022-001,4F,12,LEVEL_FRAME_012_V1,active
LVL-00022-001-013,SEC-00022,BLD-00022-001,5F,13,LEVEL_FRAME_013_V1,active
LVL-00022-002-004,SEC-00022,BLD-00022-002,1F,4,LEVEL_FRAME_004_V1,active
LVL-00022-002-007,SEC-00022,BLD-00022-002,4F,7,LEVEL_FRAME_007_V1,active
LVL-00022-003-005,SEC-00022,BLD-00022-003,1F,5,LEVEL_FRAME_005_V1,active
LVL-00022-003-006,SEC-00022,BLD-00022-003,B1F,6,LEVEL_FRAME_006_V1,active
LVL-00022-004-008,SEC-00022,BLD-00022-004,1F,8,LEVEL_FRAME_008_V1,active
